Time (s),Altitude (m),Velocity (m/s),Acceleration (m/s²),G-force
0,147.73336055795173,147.73336055795173,147.73336055795173,15.059465908048086
1,455.9272089435184,308.1938483855667,160.46048782761497,16.35682852473139
2,937.2805244052284,481.35331546171005,173.15946707614336,17.651321822236834
3,1604.3856262062386,667.1051018010103,185.75178633930022,18.934942542232438
4,2470.1033600862074,865.7177338799688,198.6126320789585,20.24593599173889
5,3548.6713674947114,1078.5680074085042,212.8502735285353,21.69727558904539
6,4857.893168945379,1309.2218014506677,230.6537940421635,23.512109484420336
7,6077.807331095399,1219.9141621500191,-89.30763930064867,9.103734893032485
8,7228.651571633443,1150.844240538045,-69.06992161197424,7.040766729049361
9,8324.012767806535,1095.3611961730908,-55.483044364954154,5.655763951575347
10,9373.483019154073,1049.4702513475384,-45.890944825552445,4.677976027069566
11,10384.094278258757,1010.6112591046846,-38.85899224285384,3.9611612887720526
12,11361.154690383937,977.0604121251806,-33.55084697950394,3.4200659510197693
13,12308.765654135948,947.610963752012,-29.449448373168558,3.0019825049101483
14,13230.1567974839,921.3911433479511,-26.21982040406087,2.6727645671825555
15,14127.911437744351,897.7546402604511,-23.63650308750001,2.409429468654435
16,15004.12323202766,876.2117942833089,-21.542845977142143,2.196008764234673
17,15860.507984225263,856.3847521976037,-19.827042085705166,2.0211052075132687
18,16698.485304121656,837.9773198963928,-18.40743230121087,1.8763947299909145
19,17519.23944776855,820.7541436468924,-17.223176249500437,1.7556754586646723
20,18323.76544175022,804.5259939816702,-16.228149665222173,1.6542456335598543
21,19112.90458932768,789.1391475774626,-15.386846404207601,1.5684858719885424
22,19887.37217464585,774.4675853181685,-14.67156225929412,1.495572095748636
23,20647.77934050473,760.4071658588796,-14.060419459288966,1.433274154871454
24,21394.6505512168,746.8712107120718,-13.535955146807735,1.3798119415706152
25,22128.43766597193,733.7871147551319,-13.084095956939874,1.3337508620733816
26,22849.53137892293,721.0937129509981,-12.693401804133776,1.293924750676226
27,23558.270591354834,708.7392124319057,-12.354500519092463,1.2593782384395986
28,24254.950143934835,696.6795525800013,-12.059659851904396,1.2293231245570229
29,24939.827236785542,684.8770928507075,-11.802459729293782,1.2031049673082346
30,25613.126791014216,673.2995542286744,-11.57753862203307,1.1801772295650426
31,26275.04594989576,661.919158881544,-11.380395347130403,1.1600810751407138
32,26925.757875985586,650.711926089826,-11.207232791718013,1.1424294385033653
33,27565.4149684119,639.6570924263143,-11.054833663511632,1.1268943591754976
34,28194.15159989715,628.7366314852528,-10.92046094106147,1.1131968339512202
35,28812.086453840224,617.9348539430737,-10.801777542179172,1.1010986281528208
36,29419.324526713895,607.2380728736731,-10.696781069400549,1.0903956237921049
37,30015.958849112172,596.6343223982782,-10.603750475394945,1.0809123828129403
38,30602.071969289704,586.1131201775321,-10.521202220746092,1.0724976779557687
39,31177.737235424876,575.6652661351729,-10.447854042359117,1.0650207994249863
40,31743.019906697336,565.2826712724589,-10.382594862714102,1.058368487534567
41,32297.978118286108,554.9582115887707,-10.324459683688113,1.0524423734646395
42,32842.66372132577,544.6856030396651,-10.272608549105557,1.0471568347712086
43,33377.123015519486,534.459294193717,-10.226308845948092,1.0424371912281438
44,33901.397389354504,524.2743738350161,-10.18492035870087,1.0382181813150733
45,34415.52388058499,514.1264912304816,-10.147882604534473,1.0344426712063683
46,34919.535667749195,504.01178716420696,-10.11470406627469,1.0310605572145453
47,35413.462501902504,493.9268341533094,-10.08495301089757,1.0280278298570407
48,35897.33108641806,483.8685845155589,-10.058249637750531,1.025305773471002
49,36371.16541158763,473.8343251695707,-10.034259345988195,1.022860279917247
50,36834.98704980998,463.82163822234423,-10.012686947226465,1.0206612586367445
51,37288.81541635331,453.828366543337,-9.99327167900725,1.0186821283391692
52,37732.66799999789,443.8525836445801,-9.975782898756897,1.016899378058807
53,38166.56056728484,433.8925672869554,-9.960016357624681,1.015292187321578
54,38590.507343602025,423.94677631718304,-9.945790969772334,1.0138420968167516
55,39004.52117391317,414.01383031114887,-9.932946006034173,1.0125327223276426
56,39408.6136655724,404.0924916592284,-9.921338651920427,1.011349505802286
57,39802.7953153525,394.1816497801062,-9.910841879122184,1.0102794983814662
