time,altitude,velocity,acceleration,fuel_mass,pitch_angle,throttle,parachute,downrange,horizontal_velocity
0.05,0.11,2.19,43.817,998.63,90.0,0.3,0,0.0,0.0
0.1,0.33,4.38,43.869,997.27,90.0,0.3,0,0.0,0.0
0.15,0.66,6.58,43.918,995.9,90.0,0.3,0,0.0,0.0
0.2,1.1,8.78,43.967,994.54,90.0,0.3,0,0.0,0.0
0.25,1.65,10.98,44.013,993.17,90.0,0.3,0,0.0,0.0
0.3,2.3,13.18,44.058,991.81,90.0,0.3,0,0.0,0.0
0.35,3.07,15.39,44.101,990.44,90.0,0.3,0,0.0,0.0
0.4,3.95,17.59,44.142,989.07,90.0,0.3,0,0.0,0.0
0.45,4.94,19.8,44.182,987.71,90.0,0.3,0,0.0,0.0
0.5,6.04,22.01,44.22,986.34,90.0,0.3,0,0.0,0.0
0.55,7.26,24.23,44.256,984.98,90.0,0.3,0,0.0,0.0
0.6,8.58,26.44,44.29,983.61,90.0,0.3,0,0.0,0.0
0.65,10.01,28.66,44.323,982.25,90.0,0.3,0,0.0,0.0
0.7,11.55,30.88,44.353,980.88,90.0,0.3,0,0.0,0.0
0.75,13.21,33.09,44.382,979.51,90.0,0.3,0,0.0,0.0
0.8,14.98,35.32,44.41,978.15,90.0,0.3,0,0.0,0.0
0.85,16.85,37.54,44.435,976.78,90.0,0.3,0,0.0,0.0
0.9,18.84,39.76,44.459,975.42,90.0,0.3,0,0.0,0.0
0.95,20.94,41.98,44.48,974.05,90.0,0.3,0,0.0,0.0
1.0,23.15,44.21,44.5,972.69,90.0,0.3,0,0.0,0.01
1.05,25.47,46.43,44.518,971.32,90.0,0.3,0,0.0,0.01
1.1,27.9,48.66,44.535,969.95,90.0,0.3,0,0.0,0.01
1.15,30.45,50.89,44.549,968.59,90.0,0.3,0,0.0,0.01
1.2,33.1,53.12,44.562,967.22,90.0,0.3,0,0.0,0.01
1.25,35.87,55.35,44.572,965.86,90.0,0.3,0,0.0,0.01
1.3,38.75,57.57,44.581,964.49,90.0,0.3,0,0.0,0.01
1.35,41.74,59.8,44.588,963.13,90.0,0.3,0,0.0,0.01
1.4,44.84,62.03,44.593,961.76,90.0,0.3,0,0.01,0.01
1.45,48.06,64.26,44.597,960.39,90.0,0.3,0,0.01,0.01
1.5,51.38,66.49,44.598,959.03,90.0,0.3,0,0.01,0.01
